tid_utc;elv;mm_0_24;mm_24_48;mm_48_72;vf_naa;varsel_fra
2026-08-26T13:00Z;audna;0.0;21.0;11.2;0.08;2026-08-26T13:29:39Z
2026-08-26T13:00Z;lygna;0.0;15.6;14.7;0.26;2026-08-26T13:30:15Z
2026-08-26T13:00Z;sygna;0.0;22.4;10.2;0.21;2026-08-26T13:30:16Z
2026-08-26T13:00Z;tovdalselva;0.0;15.3;27.5;5.23;2026-08-26T13:29:39Z
2026-08-26T14:00Z;audna;0.0;23.2;9.0;0.08;2026-08-26T13:29:39Z
2026-08-26T14:00Z;lygna;0.0;19.0;11.3;0.26;2026-08-26T13:30:15Z
2026-08-26T14:00Z;sygna;0.0;24.0;8.6;0.21;2026-08-26T13:30:16Z
2026-08-26T14:00Z;tovdalselva;0.0;20.8;22.0;5.23;2026-08-26T13:29:39Z
2026-08-26T16:00Z;audna;0.0;14.6;10.4;0.08;2026-08-26T15:29:44Z
2026-08-26T16:00Z;lygna;0.0;10.0;10.9;0.26;2026-08-26T15:29:44Z
2026-08-26T16:00Z;sygna;0.0;21.0;9.1;0.21;2026-08-26T15:29:44Z
2026-08-26T16:00Z;tovdalselva;0.0;16.2;16.7;5.38;2026-08-26T15:29:44Z
2026-08-26T17:00Z;audna;0.0;17.5;7.5;0.08;2026-08-26T16:29:27Z
2026-08-26T17:00Z;lygna;0.0;12.6;8.3;0.26;2026-08-26T16:29:13Z
2026-08-26T17:00Z;sygna;0.0;24.1;6.0;0.2;2026-08-26T16:29:13Z
2026-08-26T17:00Z;tovdalselva;0.0;18.4;14.5;5.38;2026-08-26T16:29:22Z
2026-08-26T18:00Z;audna;0.0;18.8;6.2;0.08;2026-08-26T17:28:57Z
2026-08-26T18:00Z;lygna;0.0;14.2;6.7;0.26;2026-08-26T17:28:57Z
2026-08-26T18:00Z;sygna;0.0;24.7;5.4;0.2;2026-08-26T17:29:08Z
2026-08-26T18:00Z;tovdalselva;0.0;20.7;12.2;5.38;2026-08-26T17:29:08Z
2026-08-26T19:00Z;audna;0.0;18.9;4.9;0.08;2026-08-26T18:29:24Z
2026-08-26T19:00Z;lygna;0.0;12.9;6.6;0.25;2026-08-26T18:30:09Z
2026-08-26T19:00Z;sygna;0.0;24.7;4.6;0.2;2026-08-26T18:29:25Z
2026-08-26T19:00Z;tovdalselva;0.0;24.7;9.4;5.4;2026-08-26T18:30:09Z
2026-08-26T20:00Z;audna;0.0;19.5;4.3;0.08;2026-08-26T19:32:14Z
2026-08-26T20:00Z;lygna;0.0;14.3;5.2;0.26;2026-08-26T19:32:14Z
2026-08-26T20:00Z;sygna;0.0;25.1;4.2;0.2;2026-08-26T19:32:14Z
2026-08-26T20:00Z;tovdalselva;0.0;27.3;6.8;5.42;2026-08-26T19:31:07Z
2026-08-26T21:00Z;audna;0.0;20.1;4.5;0.08;2026-08-26T20:28:52Z
2026-08-26T21:00Z;lygna;0.0;15.6;5.3;0.26;2026-08-26T20:28:49Z
2026-08-26T21:00Z;sygna;0.0;25.4;3.6;0.21;2026-08-26T20:28:52Z
2026-08-26T21:00Z;tovdalselva;0.0;28.5;6.7;5.42;2026-08-26T20:28:52Z
2026-08-26T22:00Z;audna;0.0;18.4;11.9;0.08;2026-08-26T21:29:46Z
2026-08-26T22:00Z;lygna;0.0;11.1;11.3;0.26;2026-08-26T21:29:47Z
2026-08-26T22:00Z;sygna;0.0;28.0;9.4;0.21;2026-08-26T21:29:46Z
2026-08-26T22:00Z;tovdalselva;0.0;23.7;12.0;5.41;2026-08-26T21:29:20Z
2026-08-26T23:00Z;audna;0.0;19.6;10.7;0.08;2026-08-26T22:29:47Z
2026-08-26T23:00Z;lygna;0.0;12.4;10.0;0.26;2026-08-26T22:29:47Z
2026-08-26T23:00Z;sygna;0.0;28.5;8.9;0.21;2026-08-26T22:29:46Z
2026-08-26T23:00Z;tovdalselva;0.0;27.7;8.0;5.38;2026-08-26T22:29:46Z
2026-08-27T00:00Z;audna;0.0;19.8;10.5;0.07;2026-08-26T23:29:55Z
2026-08-27T00:00Z;lygna;0.0;13.7;8.7;0.26;2026-08-26T23:29:55Z
2026-08-27T00:00Z;sygna;0.0;28.5;8.9;0.21;2026-08-26T23:30:26Z
2026-08-27T00:00Z;tovdalselva;0.0;30.1;5.6;5.35;2026-08-26T23:30:26Z
2026-08-27T01:00Z;audna;0.0;21.5;10.5;0.07;2026-08-27T00:30:16Z
2026-08-27T01:00Z;lygna;0.0;15.1;9.5;0.26;2026-08-27T00:30:16Z
2026-08-27T01:00Z;sygna;0.0;30.4;9.6;0.21;2026-08-27T00:30:16Z
2026-08-27T01:00Z;tovdalselva;0.0;30.1;4.5;5.31;2026-08-27T00:30:16Z
2026-08-27T02:00Z;audna;0.0;21.6;10.4;0.08;2026-08-27T01:30:29Z
2026-08-27T02:00Z;lygna;0.0;15.2;9.4;0.26;2026-08-27T01:30:29Z
2026-08-27T02:00Z;sygna;0.0;30.4;9.6;0.21;2026-08-27T01:30:29Z
2026-08-27T02:00Z;tovdalselva;0.0;30.3;4.3;5.25;2026-08-27T01:30:29Z
2026-08-27T03:00Z;audna;0.0;21.7;10.3;0.07;2026-08-27T02:28:57Z
2026-08-27T03:00Z;lygna;0.0;15.3;9.3;0.26;2026-08-27T02:29:10Z
2026-08-27T03:00Z;sygna;0.0;30.4;9.6;0.21;2026-08-27T02:28:57Z
2026-08-27T03:00Z;tovdalselva;0.0;30.6;4.0;5.21;2026-08-27T02:29:10Z
2026-08-27T04:00Z;audna;0.0;21.7;5.3;0.07;2026-08-27T03:29:27Z
2026-08-27T04:00Z;lygna;0.0;16.1;5.5;0.26;2026-08-27T03:29:27Z
2026-08-27T04:00Z;sygna;0.0;33.5;3.8;0.21;2026-08-27T03:29:50Z
2026-08-27T04:00Z;tovdalselva;0.0;21.8;2.2;5.16;2026-08-27T03:29:27Z
2026-08-27T05:00Z;audna;0.0;21.7;5.3;0.07;2026-08-27T04:30:03Z
2026-08-27T05:00Z;lygna;0.0;16.1;5.5;0.26;2026-08-27T04:30:09Z
2026-08-27T05:00Z;sygna;0.0;33.5;3.8;0.21;2026-08-27T04:30:09Z
2026-08-27T05:00Z;tovdalselva;0.0;21.8;2.2;5.12;2026-08-27T04:30:09Z
2026-08-27T06:00Z;audna;0.0;22.0;5.0;0.07;2026-08-27T05:29:09Z
2026-08-27T06:00Z;lygna;0.0;16.5;5.1;0.26;2026-08-27T05:29:09Z
2026-08-27T06:00Z;sygna;0.0;33.7;3.6;0.21;2026-08-27T05:29:09Z
2026-08-27T06:00Z;tovdalselva;0.0;21.8;2.2;5.12;2026-08-27T05:28:51Z
2026-08-27T07:00Z;audna;0.0;19.0;4.3;0.07;2026-08-27T06:30:12Z
2026-08-27T07:00Z;lygna;0.0;13.6;5.4;0.25;2026-08-27T06:30:12Z
2026-08-27T07:00Z;sygna;0.0;30.6;3.3;0.21;2026-08-27T06:30:54Z
2026-08-27T07:00Z;tovdalselva;0.0;23.2;2.6;5.09;2026-08-27T06:30:54Z
2026-08-27T08:00Z;audna;0.2;19.3;3.8;0.07;2026-08-27T07:32:07Z
2026-08-27T08:00Z;lygna;0.0;14.2;4.8;0.26;2026-08-27T07:32:08Z
2026-08-27T08:00Z;sygna;0.2;30.6;3.1;0.21;2026-08-27T07:32:07Z
2026-08-27T08:00Z;tovdalselva;0.0;23.6;2.2;5.1;2026-08-27T07:32:45Z
2026-08-27T09:00Z;audna;0.3;19.7;3.1;0.07;2026-08-27T08:32:36Z
2026-08-27T09:00Z;lygna;0.2;14.7;3.8;0.26;2026-08-27T08:32:01Z
2026-08-27T09:00Z;sygna;0.6;30.5;0.7;0.21;2026-08-27T08:32:00Z
2026-08-27T09:00Z;tovdalselva;0.0;24.1;1.7;5.12;2026-08-27T08:32:01Z
2026-08-27T10:00Z;audna;8.5;23.9;1.9;0.07;2026-08-27T09:32:29Z
2026-08-27T10:00Z;lygna;7.5;21.2;2.7;0.25;2026-08-27T09:32:29Z
2026-08-27T10:00Z;sygna;7.9;27.3;1.0;0.21;2026-08-27T09:33:57Z
2026-08-27T10:00Z;tovdalselva;0.9;39.0;1.8;5.14;2026-08-27T09:33:57Z
2026-08-27T11:00Z;audna;12.2;21.6;0.5;0.07;2026-08-27T10:32:27Z
2026-08-27T11:00Z;lygna;9.9;20.1;1.4;0.26;2026-08-27T10:32:27Z
2026-08-27T11:00Z;sygna;15.0;21.2;0.0;0.21;2026-08-27T10:31:32Z
2026-08-27T11:00Z;tovdalselva;2.2;37.9;1.6;5.2;2026-08-27T10:32:27Z
2026-08-27T12:00Z;audna;16.4;17.7;0.2;0.07;2026-08-27T11:32:24Z
2026-08-27T12:00Z;lygna;13.4;17.0;1.0;0.25;2026-08-27T11:32:24Z
